principal_component_1,principal_component_2,class
-9.662467795,3.273512224,0
-9.659724129,3.271598644,0
-9.662467795,3.273512224,0
-9.659724129,3.271598644,0
-8.339170241,3.646570513,0
-9.662467795,3.273512224,0
-8.976868335,3.462452029,0
-8.548097558,2.540514398,0
-9.396610641,2.309574826,0
-9.267490971,3.382398557,0
-4.704303372,3.614064173,0
-9.642447354,3.289955923,0
-9.382340665,3.361661557,0
-7.452880781,3.890900822,0
-8.539312327,2.555035886,0
-8.517595185,2.547748137,0
-9.642447354,3.289955923,0
-8.804312226,3.522121509,0
-7.866276418,3.764837236,0
-9.178045075,3.404386855,0
-8.804312226,3.522121509,0
-0.844528937,5.717083331,1
-8.425024121,3.610802911,0
-1.675475795,5.486272936,1
-9.354579371,2.329416473,0
-9.357323037,2.331330053,0
-8.41623889,3.625324399,0
-8.431061448,3.623281642,0
-0.919711175,5.690775412,1
-9.155771113,2.375968931,0
-8.554992141,2.549844904,0
-9.277510722,2.350662587,0
-8.971131444,2.425694898,0
-7.594377698,2.817334906,0
-9.211970971,2.359300793,0
-6.173630263,1.131876839,0
-8.554992141,2.549844904,0
-8.585494513,2.542611164,0
-5.695420187,3.339340432,0
-8.176733191,2.646736336,0
-8.322937845,2.601717521,0
-8.322937845,2.601717521,0
-4.967593243,-2.693988434,0
-7.730387283,1.739941831,0
-9.075958798,2.395301465,0
-3.356769436,0.861764816,0
-9.393866974,2.307661246,0
-5.857737853,-1.892723567,0
-9.20318574,2.373822281,0
-7.373244849,-3.35984307,0
-5.94504601,-6.075761818,0
-6.327381389,2.118464817,0
-9.091465882,1.367392655,0
-8.795831668,2.483450798,0
-2.761050085,4.153556226,1
-8.314152614,2.616239009,0
0.837749419,5.139215023,1
-8.489452389,2.55848311,0
-9.146985882,2.390490419,0
-3.275503908,-4.305818656,0
-8.391221262,2.594992895,0
-8.834393959,0.388933769,0
-9.036671195,2.417056692,0
-8.81284531,1.433277647,0
-8.276371568,2.615729896,0
-8.192413005,2.641545354,0
-8.810101644,1.431364067,0
-6.417938769,3.140158115,0
-8.572005783,1.499671753,0
-7.756738738,1.725291166,0
-8.391221262,2.594992895,0
-8.615828393,1.483745798,0
-9.101094795,1.350837041,0
-8.754581644,0.408266303,0
1.950485393,2.336956628,1
-6.210176787,2.149600434,0
-8.754581644,0.408266303,0
-5.35523805,2.398562727,0
-8.366203635,1.564661392,0
-8.649074431,1.478425639,0
-8.77081404,1.453119294,0
-6.003813151,1.179560048,0
-4.397921506,2.647704082,0
3.04527364,-1.508411,2
-8.630650951,1.481703041,0
0.580801548,-0.128124117,2
-2.475964721,0.068529882,0
-8.081068332,1.648542024,0
2.42312707,4.529545725,1
-8.646330765,1.476512059,0
-8.18949194,1.603014096,0
-7.896173927,-1.417446786,0
-7.896173927,-1.417446786,0
-7.87103585,0.654510192,0
-9.014397234,1.388638769,0
-7.87103585,0.654510192,0
-6.107233255,1.14366327,0
-7.769201721,1.719747176,0
-8.212066337,1.607153619,0
-7.868292184,0.652596612,0
-7.021238047,-3.249834616,0
-8.788380265,1.452990117,0
-2.974432991,2.001724838,0
-8.289134986,1.585907506,0
-8.500805969,0.481764971,0
-4.536201591,1.573785159,0
-7.800004529,0.688235036,0
-8.590810765,0.453414295,0
4.894791853,-4.115806699,2
-7.812940677,0.681130474,0
-7.497776167,0.770684273,0
-8.075328852,-0.42960751,0
-8.741645496,0.415370865,0
-8.41165584,-0.534424981,0
-7.876520595,-0.383055052,0
-8.414399506,-0.532511401,0
-7.736256118,0.700788935,0
-7.791223535,0.673842725,0
-8.934584919,1.407971303,0
-8.937328585,1.409884883,0
1.750466345,3.306318079,1
-8.621313138,0.446180555,0
-8.741645496,0.415370865,0
-8.785084016,0.401032564,0
-8.73890183,0.413457285,0
-7.605178695,-0.309427207,0
-3.929005869,1.750669903,0
-8.101680308,-0.444258175,0
-1.612324406,1.35470441,0
-4.773319992,-2.641606703,0
-4.784792957,1.513573334,0
-7.411073937,0.794586151,0
2.861792481,1.550955433,1
-8.275646256,0.542968094,0
-8.427888237,0.51042801,0
-7.000417298,0.908663467,0
-7.948952849,0.645129801,0
-3.292341167,1.914084618,0
-8.590810765,0.453414295,0
-8.247884962,-0.48927699,0
-7.012628134,-1.171202897,0
-5.295521171,-3.813364623,0
-8.327697277,-0.508609523,0
-7.11471441,-0.162117508,0
-4.888894999,-0.589581901,0
-6.484939623,-0.003272136,0
-7.522065894,-1.313138428,0
8.973340627,1.147722372,1
-0.504476155,1.659003197,1
-6.513988782,-5.197421882,0
-7.021965947,-0.135680411,0
-7.85334027,3.771941799,0
4.063722204,0.84500771,1
-6.513988782,-5.197421882,0
-6.57683083,-0.026561007,0
-4.294382017,-3.548297314,0
0.851413467,2.03216538,1
1.190990742,6.266437959,1
-5.862491552,4.317236195,0
-1.70542665,-4.905191433,0
-7.56863217,-1.327150802,0
1.414014239,0.113111976,2
-4.609969754,0.52949529,0
-7.607919774,-1.34890603,0
-6.678487561,-2.128415669,0
-6.924635451,4.037701407,0
1.62177622,-0.877445704,2
-7.83997407,-1.400778647,0
-5.546042322,0.271505614,0
0.082712699,1.820558341,1
-1.644973423,5.493506676,1
-3.648932084,-3.370361111,0
-3.214715699,0.914200557,0
-1.747961394,1.305277442,0
-6.879611774,0.941033729,0
-1.642229757,5.491593096,1
-7.771690652,-1.394054021,0
-5.430848817,-2.823499243,0
-6.434904368,-2.063935144,0
-6.123595007,-0.928786169,0
2.001973861,-4.910622386,2
-7.117455489,-1.201596331,0
1.33694559,0.091865862,2
-8.458270159,3.605482752,0
-7.116725508,-3.288257982,0
-5.49785434,-5.953029644,0
-8.841540689,2.472586649,0
-5.872130866,-5.005706376,0
1.404844918,0.097002835,2
-4.324159076,-5.628292856,0
-6.173806645,-6.138199587,0
-1.936022,-0.823693251,0
-0.76502236,-4.65096299,0
-4.919219973,-1.633433318,0
-6.132380238,-0.943307656,0
-6.774529685,-2.144287615,0
-5.550630674,-4.93184546,0
-7.116725508,-3.288257982,0
-5.857737853,-1.892723567,0
-5.792198101,-1.884085361,0
-1.04973254,-0.579362942,0
-4.133354804,-3.501235743,0
-5.446528631,-2.828690225,0
-6.971378109,-3.246387392,0
-4.454554561,-2.550818258,0
-6.823839628,-2.156386409,0
-5.841200783,-1.884384359,0
-0.407874624,-0.387647436,2
-3.931021635,-1.361570722,0
-2.222570548,-0.900951506,0
-7.237235264,-2.282449994,0
-6.597270076,-3.142079034,0
-3.519812414,-2.29753738,0
-2.537474005,-3.049813731,0
-4.002950414,-6.563696391,0
