age,sex_new,breed_new,likes_people_new,coat_new,size_new,month_found_new
0.17,1,0,0,0,0,12
0.17,0,0,0,0,0,12
0.17,1,0,0,0,0,12
0.17,0,0,0,0,0,12
1.5,0,1,0,0,1,12
0.17,1,0,0,0,0,12
0.83,0,0,0,3,0,12
1.0,0,0,0,1,1,11
0.17,1,0,0,0,0,11
0.58,1,0,0,0,0,12
5.0,1,1,0,0,1,11
0.15,1,1,0,0,1,12
0.42,1,1,0,0,1,12
2.42,0,1,0,0,1,12
1.0,0,1,0,1,1,11
1.0,0,0,0,1,2,11
0.15,1,1,0,0,1,12
1.0,0,1,0,3,0,12
2.0,0,0,0,0,1,12
0.67,0,0,0,0,0,12
1.0,0,1,0,3,0,12
9.25,1,1,0,2,1,12
1.42,0,0,0,0,1,12
8.42,1,1,0,0,1,12
0.17,0,1,0,0,1,11
0.17,1,1,0,0,1,11
1.42,0,1,0,0,1,12
1.42,0,1,0,1,0,12
9.17,0,1,0,0,2,12
0.42,1,0,0,0,0,11
1.0,0,1,0,0,1,11
0.25,0,1,0,0,1,11
0.58,1,0,0,0,1,11
2.0,1,1,0,0,1,11
0.33,1,0,0,0,1,11
2.92,0,1,0,0,1,09
1.0,0,1,0,0,1,11
1.0,0,1,0,0,0,11
4.0,0,1,0,0,0,11
1.42,1,0,0,1,0,11
1.25,0,0,0,0,1,11
1.25,0,0,0,0,1,11
3.08,1,0,0,0,1,05
1.58,0,1,0,0,1,10
0.5,0,0,0,0,0,11
5.58,1,0,0,0,1,08
0.17,0,0,0,0,0,11
2.42,0,1,0,0,1,06
0.33,1,1,0,0,1,11
0.58,0,0,0,0,1,05
1.25,0,0,0,1,0,02
3.08,1,0,0,0,0,10
0.17,1,1,0,0,1,10
0.75,0,1,0,0,1,11
7.0,1,1,0,3,0,11
1.25,0,1,0,0,1,11
10.75,0,1,0,0,1,11
1.08,1,0,0,0,1,11
0.42,1,1,0,0,0,11
4.25,0,0,0,0,2,03
1.17,0,1,0,0,1,11
0.17,1,0,0,0,1,09
0.5,0,1,0,0,1,11
0.5,1,0,0,0,0,10
1.33,0,0,0,0,0,11
1.42,1,0,0,0,0,11
0.5,0,0,0,0,0,10
3.25,0,1,0,0,0,11
0.75,1,0,0,0,0,10
1.58,1,0,0,1,0,10
1.17,0,1,0,0,1,11
0.67,0,0,0,0,1,10
0.15,0,0,0,1,1,10
0.25,0,0,0,0,1,09
11.08,1,1,0,0,1,08
3.17,1,0,0,0,1,10
0.25,0,0,0,0,1,09
4.08,1,1,0,0,0,10
0.92,0,1,0,0,1,10
0.67,1,0,0,0,0,10
0.5,0,1,0,0,1,10
3.08,0,1,0,1,1,09
5.08,0,0,0,0,0,10
11.08,1,1,0,2,1,04
0.67,0,0,0,1,0,10
9.08,0,0,0,2,1,06
6.25,1,0,0,0,0,07
1.17,1,1,0,3,1,10
12.08,0,0,0,3,1,10
0.67,0,0,0,0,0,10
1.08,0,0,0,2,1,10
0.58,0,1,0,0,1,07
0.58,0,1,0,0,1,07
1.17,1,0,0,0,1,09
0.25,1,1,0,0,1,10
1.17,1,0,0,0,1,09
3.0,1,0,0,2,0,09
1.5,0,0,0,3,1,10
1.08,0,1,0,0,1,10
1.17,0,0,0,0,1,09
0.92,0,1,0,1,1,05
0.5,1,1,0,1,0,10
6.25,0,0,0,0,1,09
1.0,0,1,0,0,1,10
0.5,1,0,0,1,1,09
4.58,0,0,0,3,1,09
1.25,1,1,0,1,0,09
0.42,0,0,0,0,1,09
12.17,0,1,0,0,2,01
1.25,0,1,0,0,0,09
1.58,1,1,0,0,0,09
0.67,0,1,0,0,1,08
0.25,1,0,0,1,1,09
0.33,0,0,0,0,1,08
0.92,1,0,0,0,0,08
0.33,1,0,0,0,1,08
1.25,0,1,0,1,2,09
1.25,0,0,0,0,1,09
0.33,0,1,0,0,1,10
0.33,1,1,0,0,1,10
11.17,0,0,0,1,0,09
0.42,0,0,0,0,0,09
0.25,1,0,0,1,1,09
0.25,0,0,0,0,0,09
0.25,0,0,0,1,1,09
1.17,1,0,0,0,1,08
5.25,0,1,0,0,1,09
0.67,1,0,0,1,0,08
7.33,0,1,0,3,1,08
3.25,1,0,0,0,2,05
4.33,0,1,0,0,2,09
1.67,1,1,0,0,0,09
11.75,1,1,0,0,1,07
0.75,1,0,0,0,1,09
0.58,0,1,0,0,1,09
2.08,1,1,0,1,0,09
1.08,1,1,0,0,1,09
5.92,0,0,0,0,1,09
0.42,0,0,0,0,1,09
0.5,0,0,0,0,1,08
1.5,1,1,0,0,1,07
2.42,0,1,0,0,2,04
0.42,1,0,0,0,1,08
1.67,1,1,0,0,1,08
3.67,0,1,0,0,2,07
2.33,0,0,0,0,1,08
1.0,0,1,0,0,0,07
